symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address,exchange
BTC,SHORT,773489.4,73060.3,10.587,1773631404943,bybit,,,,,,,,,
BTC,SHORT,84049.3186,72896.2,1.153,1773631275230,binance,LIMIT,72641.75,FILLED,,,,,,
BTC,LONG,72378.1,72378.1,1.0,1773631417444,bybit,,,,,,,,,
BTC,SHORT,29154.53,73069.0,0.399,1773631412943,bybit,,,,,,,,,
BTC,SHORT,25516.86,73114.2,0.349,1773631416944,bybit,,,,,,,,,
,long,,72631.0,,2026-03-16T03:22:41.787894+00:00,hyperliquid,,,,BTC,0.21454,15582.25474,0xf4b5295c919831cc1135b2a0a9c14a8883be436f,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,
,long,,72631.0,,2026-03-16T03:22:42.430206+00:00,hyperliquid,,,,BTC,0.21454,15582.25474,0xf4b5295c919831cc1135b2a0a9c14a8883be436f,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,
,long,,72544.0,,2026-03-16T03:18:10.366324+00:00,hyperliquid,,,,BTC,0.18727,13585.31488,0xf4b5295c919831cc1135b2a0a9c14a8883be436f,0x2688d3ab9d031e11a0bd4c0fc31e35b4274a23f2,
,long,,72544.0,,2026-03-16T03:18:12.097499+00:00,hyperliquid,,,,BTC,0.18727,13585.31488,0xf4b5295c919831cc1135b2a0a9c14a8883be436f,0x2688d3ab9d031e11a0bd4c0fc31e35b4274a23f2,
,long,,72571.0,,2026-03-16T03:18:40.451283+00:00,hyperliquid,,,,BTC,0.17818,12930.700780000001,0xf4b5295c919831cc1135b2a0a9c14a8883be436f,0xaf2ac71f62f341e5823d6985492409e92c940447,
,long,,72571.0,,2026-03-16T03:18:40.458839+00:00,hyperliquid,,,,BTC,0.17818,12930.700780000001,0xf4b5295c919831cc1135b2a0a9c14a8883be436f,0xaf2ac71f62f341e5823d6985492409e92c940447,
,long,,72560.0,,2026-03-16T03:20:40.420240+00:00,hyperliquid,,,,BTC,0.17455,12665.348,0xf4b5295c919831cc1135b2a0a9c14a8883be436f,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90,
,long,,72560.0,,2026-03-16T03:20:40.761519+00:00,hyperliquid,,,,BTC,0.17455,12665.348,0xf4b5295c919831cc1135b2a0a9c14a8883be436f,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90,
BTC,SHORT,12562.76,72785.4,17.26,1773631471328,okx,,,,,,,,,okx
BTC,SHORT,12253.9872,72940.4,0.168,1773631277536,binance,LIMIT,72659.4,FILLED,,,,,,
,long,,72557.0,,2026-03-16T03:20:10.437528+00:00,hyperliquid,,,,BTC,0.16727,12136.60939,0xf4b5295c919831cc1135b2a0a9c14a8883be436f,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,
