exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
bybit,BTC,SHORT,403700.55,73400.1,5.5,1773631851943,bybit,,,
bybit,BTC,SHORT,227260.59,73262.6,3.102,1773631836944,bybit,,,
,BTC,SHORT,73225.0,73225.0,1.0,1773631804546,bybit,,,
bybit,BTC,SHORT,43230.18,73271.5,0.59,1773631836944,bybit,,,
bybit,BTC,SHORT,43007.01,73390.8,0.586,1773631845443,bybit,,,
bybit,BTC,SHORT,40343.27,73351.4,0.55,1773631844462,bybit,,,
,BTC,SHORT,35046.26,72846.1,48.11,1773631804130,okx,,,
binance,BTC,SHORT,18055.95,73101.0,0.247,1773631739041,binance,,,
,BTC,SHORT,18055.947,73101.0,0.247,1773631739041,binance,LIMIT,72811.2,FILLED
bybit,BTC,SHORT,15773.8,73366.5,0.215,1773631845443,bybit,,,
bybit,BTC,SHORT,13929.0,73310.5,0.19,1773631837943,bybit,,,
,BTC,SHORT,13632.29,73252.5,18.61,1773631841167,okx,,,
,BTC,SHORT,10190.42,72945.0,13.97,1773631839131,okx,,,
,BTC,SHORT,9374.04,73234.7,12.8,1773631837630,okx,,,
bybit,BTC,SHORT,8866.73,73278.8,0.121,1773631836446,bybit,,,
bybit,BTC,SHORT,7111.23,73311.7,0.097,1773631837443,bybit,,,
bybit,BTC,SHORT,6311.3,73387.2,0.086,1773631845953,bybit,,,
bybit,BTC,SHORT,6300.95,73266.9,0.086,1773631836944,bybit,,,
bybit,BTC,SHORT,5797.49,73386.0,0.079,1773631849944,bybit,,,
bybit,BTC,SHORT,4909.91,73282.3,0.067,1773631836944,bybit,,,
bybit,BTC,SHORT,4770.91,73398.6,0.065,1773631844947,bybit,,,
bybit,BTC,SHORT,4399.59,73326.5,0.06,1773631841944,bybit,,,
bybit,BTC,SHORT,4255.98,73379.0,0.058,1773631844947,bybit,,,
,BTC,SHORT,3957.56,72883.3,5.43,1773631831615,okx,,,
bybit,BTC,SHORT,3817.54,73414.3,0.052,1773631852444,bybit,,,
bybit,BTC,SHORT,3738.45,73302.9,0.051,1773631836446,bybit,,,
bybit,BTC,SHORT,3298.85,73307.7,0.045,1773631838457,bybit,,,
,BTC,SHORT,3065.74,73168.1,4.19,1773631825100,okx,,,
bybit,BTC,SHORT,2787.56,73356.8,0.038,1773631844462,bybit,,,
bybit,BTC,SHORT,2710.75,73263.5,0.037,1773631836446,bybit,,,
bybit,BTC,SHORT,2569.48,73413.8,0.035,1773631851943,bybit,,,
,BTC,SHORT,2335.76,72992.4,3.2,1773631844107,okx,,,
bybit,BTC,SHORT,2271.83,73284.8,0.031,1773631836446,bybit,,,
,BTC,SHORT,2270.22,73232.9,0.031,1773631805443,bybit,,,
,BTC,SHORT,2269.84,73220.5,0.031,1773631804511,bybit,,,
bybit,BTC,SHORT,2202.09,73403.1,0.03,1773631844947,bybit,,,
,BTC,SHORT,1684.82,73253.1,0.023,1773631824443,bybit,,,
bybit,BTC,SHORT,1612.35,73288.8,0.022,1773631836944,bybit,,,
,BTC,SHORT,1611.3,73240.7,0.022,1773631807444,bybit,,,
bybit,BTC,SHORT,1468.3,73415.2,0.02,1773631852444,bybit,,,
bybit,BTC,SHORT,1393.54,73344.3,0.019,1773631843943,bybit,,,
bybit,BTC,SHORT,1393.48,73340.8,0.019,1773631843457,bybit,,,
,BTC,SHORT,1391.66,73245.3,0.019,1773631819443,bybit,,,
,BTC,SHORT,1333.1,73247.0,1.82,1773631840477,okx,,,
,BTC,SHORT,1222.64,73211.8,1.67,1773631836067,okx,,,
,BTC,SHORT,846.43,72968.5,1.16,1773631842229,okx,,,
bybit,BTC,SHORT,806.25,73295.0,0.011,1773631836446,bybit,,,
,BTC,SHORT,774.52,73068.1,1.06,1773631856550,okx,,,
bybit,BTC,SHORT,733.03,73303.0,0.01,1773631837943,bybit,,,
,BTC,SHORT,445.41,73017.5,0.61,1773631845021,okx,,,
bybit,BTC,SHORT,439.82,73304.0,0.006,1773631836944,bybit,,,
,BTC,SHORT,437.31,72885.0,0.6,1773631833667,okx,,,
,BTC,SHORT,409.6,73143.2,0.56,1773631805079,okx,,,
,BTC,SHORT,386.18,72865.0,0.53,1773631806057,okx,,,
bybit,BTC,SHORT,366.46,73291.1,0.005,1773631837443,bybit,,,
,BTC,SHORT,366.26,73252.9,0.005,1773631824443,bybit,,,
,BTC,SHORT,366.18,73235.1,0.005,1773631806445,bybit,,,
,BTC,SHORT,365.55050000000006,73110.1,0.005,1773631741158,binance,LIMIT,72812.2,FILLED
binance,BTC,SHORT,365.55,73110.1,0.005,1773631741158,binance,,,
bybit,BTC,SHORT,219.9,73299.4,0.003,1773631836944,bybit,,,
,BTC,SHORT,205.31,73325.0,0.28,1773631852085,okx,,,
,BTC,SHORT,197.3,73074.0,0.27,1773631857181,okx,,,
,BTC,SHORT,175.26,73024.3,0.24,1773631851921,okx,,,
bybit,BTC,SHORT,146.6,73299.9,0.002,1773631836944,bybit,,,
bybit,BTC,SHORT,146.58,73291.1,0.002,1773631836446,bybit,,,
bybit,BTC,SHORT,146.56,73281.9,0.002,1773631836446,bybit,,,
,BTC,SHORT,146.48,73241.6,0.002,1773631807944,bybit,,,
,BTC,SHORT,109.49,72990.6,0.15,1773631843883,okx,,,
,BTC,SHORT,102.02,72872.3,0.14,1773631819816,okx,,,
,BTC,SHORT,87.63,73021.8,0.12,1773631850631,okx,,,
,BTC,SHORT,80.5,73178.4,0.11,1773631834978,okx,,,
bybit,BTC,SHORT,73.31,73313.6,0.001,1773631837943,bybit,,,
,BTC,SHORT,73.23,73225.5,0.001,1773631804561,bybit,,,
,BTC,SHORT,58.45,73057.0,0.08,1773631855315,okx,,,
,BTC,SHORT,51.23,73182.3,0.07,1773631835045,okx,,,
,BTC,SHORT,51.02,72882.8,0.07,1773631828815,okx,,,
,BTC,SHORT,7.32,73227.5,0.01,1773631837003,okx,,,
