symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,address,pnl,exchange
BTC,SHORT,108339.36,74716.8,1.45,1773636901948,bybit,,,,,,,,,
BTC,SHORT,74795.7,74795.7,1.0,1773636902444,bybit,,,,,,,,,
BTC,LONG,57568.494,73617.0,0.782,1773636960722,binance,LIMIT,73913.9,FILLED,,,,,,
BTC,SHORT,52131.42,74794.0,0.697,1773636901949,bybit,,,,,,,,,
BTC,SHORT,45682.03,74766.0,0.611,1773636902444,bybit,,,,,,,,,
BTC,SHORT,45071.96,74746.2,0.603,1773636901949,bybit,,,,,,,,,
BTC,SHORT,30207.81,74771.8,0.404,1773636902444,bybit,,,,,,,,,
BTC,LONG,29905.69,73641.2,40.61,1773636957662,okx,,,,,,,,,
BTC,LONG,29709.7156,73538.9,0.404,1773636976691,binance,LIMIT,73825.8,FILLED,,,,,,
BTC,LONG,24744.07,73511.8,33.66,1773637019300,okx,,,,,,,,,
BTC,LONG,23568.12,73927.6,31.88,1773636958288,okx,,,,,,,,,
BTC,LONG,14476.56,73485.1,0.197,1773636974444,bybit,,,,,,,,,
BTC,SHORT,14420.94,74719.9,0.193,1773636901447,bybit,,,,,,,,,
BTC,SHORT,12856.42,74746.6,0.172,1773636902444,bybit,,,,,,,,,
BTC,SHORT,11667.32,74790.5,0.156,1773636902943,bybit,,,,,,,,,
BTC,LONG,9836.32,73515.1,13.38,1773636991844,okx,,,,,,,,,
BTC,LONG,9637.3556,73567.6,0.131,1773636975636,binance,LIMIT,73828.7,FILLED,,,,,,
BTC,SHORT,9571.58,74778.0,0.128,1773636901949,bybit,,,,,,,,,
BTC,SHORT,9347.27,74778.2,0.125,1773636902444,bybit,,,,,,,,,
BTC,SHORT,9197.09,74773.1,0.123,1773636902444,bybit,,,,,,,,,
BTC,LONG,8953.23,73689.1,12.15,1773636953809,okx,,,,,,,,,
BTC,SHORT,8747.42,74764.3,0.117,1773636902444,bybit,,,,,,,,,
BTC,SHORT,8445.55,74739.4,0.113,1773636902444,bybit,,,,,,,,,
BTC,SHORT,7550.91,74761.5,0.101,1773636902444,bybit,,,,,,,,,
BTC,SHORT,7478.74,74787.4,0.1,1773636902444,bybit,,,,,,,,,
BTC,SHORT,7475.43,74754.3,0.1,1773636902943,bybit,,,,,,,,,
BTC,SHORT,7326.15,74756.6,0.098,1773636901949,bybit,,,,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,,,,BTC,0.0861,6405.41,0xbc241ccf...,-121.14,
BTC,SHORT,6405.41,74395.0,0.0861,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,5979.24,74740.5,0.08,1773636902943,bybit,,,,,,,,,
BTC,LONG,5682.29,73700.3,7.71,1773636949646,okx,,,,,,,,,
BTC,SHORT,5086.19,74796.9,0.068,1773636902444,bybit,,,,,,,,,
BTC,LONG,4716.294400000001,73692.1,0.064,1773636954565,binance,LIMIT,73961.7,FILLED,,,,,,
BTC,SHORT,4709.39,74752.3,0.063,1773636902444,bybit,,,,,,,,,
BTC,SHORT,4478.29,74638.2,0.06,1773636901447,bybit,,,,,,,,,
BTC,SHORT,4185.75,74745.6,0.056,1773636902943,bybit,,,,,,,,,
BTC,SHORT,4110.7,74740.0,0.055,1773636901949,bybit,,,,,,,,,
BTC,SHORT,4037.33,74765.3,0.054,1773636902444,bybit,,,,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,,,,BTC,0.05276,3925.08,0xd1a59e86...,-517.57,
BTC,SHORT,3925.08,74395.0,0.05276,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,3737.87,74757.3,0.05,1773636902444,bybit,,,,,,,,,
BTC,LONG,3731.37,73597.1,5.07,1773636964664,okx,,,,,,,,,
BTC,SHORT,3312.76,74394.0,0.04453,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,3139.38,74747.1,0.042,1773636902943,bybit,,,,,,,,,
BTC,SHORT,2990.42,74760.5,0.04,1773636901949,bybit,,,,,,,,,
BTC,SHORT,2911.75,74660.2,0.039,1773636901949,bybit,,,,,,,,,
BTC,SHORT,2841.74,74782.7,0.038,1773636902444,bybit,,,,,,,,,
BTC,SHORT,2614.28,74693.8,0.035,1773636901447,bybit,,,,,,,,,
BTC,SHORT,2541.16,74740.0,0.034,1773636902444,bybit,,,,,,,,,
BTC,SHORT,2243.34,74778.0,0.03,1773636901949,bybit,,,,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,,,,BTC,0.0287,2135.14,0xc49cb604...,-19.32,
BTC,SHORT,2135.14,74395.0,0.0287,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,2093.48,74767.2,0.028,1773636902943,bybit,,,,,,,,,
BTC,SHORT,2091.37516,74691.97,0.028,1773636903387,binance,LIMIT,74404.4,FILLED,,,,,,
BTC,SHORT,1944.21,74777.4,0.026,1773636901949,bybit,,,,,,,,,
BTC,SHORT,1859.85,74394.0,0.025,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,1798.8,74392.0,0.02418,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,1794.99,74791.1,0.024,1773636902943,bybit,,,,,,,,,
BTC,SHORT,1790.8536,74618.9,0.024,1773636901147,binance,LIMIT,74403.9,FILLED,,,,,,
BTC,SHORT,1769.81,74361.6,2.38,1773636901019,okx,,,,,,,,,
BTC,SHORT,1569.55,74740.5,0.021,1773636902444,bybit,,,,,,,,,
BTC,LONG,1546.2405,73630.5,0.021,1773636959708,binance,LIMIT,73907.8,FILLED,,,,,,
BTC,SHORT,1345.8,74766.9,0.018,1773636901949,bybit,,,,,,,,,
BTC,SHORT,1270.57,74739.5,0.017,1773636901949,bybit,,,,,,,,,
BTC,SHORT,1196.42,74776.2,0.016,1773636902444,bybit,,,,,,,,,
BTC,SHORT,1121.94,74795.7,0.015,1773636902444,bybit,,,,,,,,,
BTC,SHORT,1121.38,74758.5,0.015,1773636902444,bybit,,,,,,,,,
BTC,SHORT,1120.52,74701.5,0.015,1773636901447,bybit,,,,,,,,,
BTC,LONG,1026.47,73846.6,1.39,1773636974090,okx,,,,,,,,,
BTC,SHORT,1011.81,74398.0,1.36,1773636902003,okx,,,,,,,,,
BTC,SHORT,1009.47,74390.0,0.01357,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC-USD,SHORT,990.0,74685.1,9.9,1773636902038,okx,,,,,,,,,
BTC,LONG,974.78,73846.6,1.32,1773636973970,okx,,,,,,,,,
BTC,SHORT,972.05,74773.1,0.013,1773636901949,bybit,,,,,,,,,
BTC,SHORT,971.84,74757.1,0.013,1773636902444,bybit,,,,,,,,,
